srcYear,srcStateName,srcMonth,Food grains allocated,Ration cards issued,Transaction for ration cards,Aadhaar authenticated Transactions,Aadhaar authenticated Transactions (%),ePoS (Electronic Point of Sale system) distribution of food grains,Manual distribution of food grains,Distribution of food grains,YearCode,Year,MonthCode,Month
2017-18,KERALA,Apr-17,85459.89,311894,0,0,0,0,7779.98,7779.98,2017,"Calendar Year (Jan - Dec), 2017",201704,"April, 2017"
2017-18,MIZORAM,Apr-17,3827.96,24833,0,0,0,0,651.34,651.34,2017,"Calendar Year (Jan - Dec), 2017",201704,"April, 2017"
2018-19,WEST BENGAL,Apr-18,330516.44,56332793,0,0,0,0,325367.24,325367.24,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,GUJARAT,Apr-18,198288.02,7068124,6024715,3992081,66.26,167703.64,0,167703.64,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,PUNJAB,Apr-18,72510,3509588,0,0,0,0,257079.58,257079.58,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,LAKSHADWEEP,Apr-18,126.85,5148,253,0,0,4.19,0,4.19,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,JAMMU AND KASHMIR,Apr-18,39798.05,1667296,983222,106557,10.84,23230.39,13240.41,36470.8,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,HIMACHAL PRADESH,Apr-18,16857.47,679985,464198,2379,0.51,12992.57,3373.98,16366.55,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,ODISHA,Apr-18,179926.06,8670312,9429724,5072048,53.79,172188.05,8866.32,181054.37,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,ARUNACHAL PRADESH,Apr-18,4677.46,179913,0,0,0,0,4676,4676,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,ANDAMAN & NICOBAR ISLANDS,Apr-18,332.7,9561,820,0,0,13.06,214.84,227.9,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,KERALA,Apr-18,85459.89,2452695,3989971,3485279,87.35,55722.23,18644.78,74367.01,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,TELANGANA,Apr-18,108004.23,5192173,8729477,8729477,100,93634.95,1047.92,94682.87,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,TRIPURA,Apr-18,13761.1,815580,236168,236168,100,4868.57,15384.87,20253.43,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
2018-19,MIZORAM,Apr-18,3827.96,145444,0,0,0,0,5500.74,5500.74,2018,"Calendar Year (Jan - Dec), 2018",201804,"April, 2018"
